,Number of iterations,Number of cuts,Number of executions,Average error
127,187.0,1.0,187.0,1.805070959743499e-05
128,1254.0,2.0,1254.0,0.0008269759083218482
129,198.0,1.0,198.0,6.988670054207738e-06
130,204.0,2.0,204.0,5.0017772199560804e-05
131,116.0,2.0,116.0,0.01988017912731212
132,200.0,1.0,200.0,3.9664577144299384e-06
133,125.0,2.0,125.0,0.00015453250047793706
134,165.0,2.0,165.0,7.560308708994988e-05
135,145.0,2.0,145.0,0.00011918313639275342
136,226.0,2.0,226.0,0.00012765591499370996
137,156.0,2.0,156.0,5.622376196469641e-05
138,274.0,2.0,274.0,0.0001371328735127944
139,693.0,2.0,693.0,0.0014095505285754144
140,189.0,1.0,189.0,5.957754850703656e-06
141,187.0,1.0,187.0,5.975345998110448e-06
142,159.0,2.0,159.0,0.00042841072854208517
143,185.0,2.0,185.0,5.613477455533068e-05
144,187.0,1.0,187.0,5.153052735240582e-06
145,240.0,2.0,240.0,6.035170722969134e-05
146,426.0,2.0,426.0,0.00031135276733150474
147,160.0,1.0,160.0,5.046520921203612e-06
148,84.0,2.0,84.0,0.0016743638645233432
149,240.0,2.0,240.0,0.00010635172891672888
150,215.0,1.0,215.0,4.352628781664758e-06
151,176.0,1.0,176.0,6.948269559575726e-07
152,194.0,1.0,194.0,9.333648739340283e-06
153,197.0,1.0,197.0,9.561486081388626e-06
154,192.0,2.0,192.0,7.415009582263698e-05
155,113.0,2.0,113.0,0.000570520294978351
156,182.0,1.0,182.0,7.018001396713602e-06
157,197.0,1.0,197.0,1.160705586613145e-05
158,152.0,2.0,152.0,0.00019414317714371598
159,181.0,1.0,181.0,7.158162094240972e-06
160,109.0,2.0,109.0,0.0005722597295447317
161,119.0,2.0,119.0,0.0007232041328810282
162,190.0,1.0,190.0,1.0955946603226352e-05
163,196.0,1.0,196.0,3.565213711850812e-06
164,119.0,2.0,119.0,0.0004116066853829846
165,125.0,2.0,125.0,0.00016942709161507063
166,115.0,2.0,115.0,0.00024115401261264987
167,137.0,2.0,137.0,9.872280243284559e-05
168,240.0,2.0,240.0,0.00013876525244669742
169,198.0,1.0,198.0,5.662291352667714e-06
170,193.0,2.0,193.0,9.899040887594631e-05
171,152.0,1.0,152.0,2.2379538730056547e-05
172,148.0,2.0,148.0,7.386111424254715e-05
173,163.0,1.0,163.0,1.99061896859129e-05
174,498.0,2.0,498.0,0.0003910889010683839
175,160.0,1.0,160.0,3.057070560888442e-05
176,192.0,1.0,192.0,9.263385060263862e-06
177,199.0,2.0,199.0,4.282799728557955e-05
178,187.0,1.0,187.0,3.4280614643021623e-06
179,102.0,2.0,102.0,0.003782136100118074
180,133.0,1.0,133.0,3.605398827115358e-05
